Edge,Target,Month,Group,StudentID,StudentStatus,QualitativeCode,QualitativeCode2,Valence,,,,,,,,
Bronx River,Rat,September,MW,1MW,Returner,Animals,,Negative,,,,,,,,
Rat,Cat,September,MW,1MW,Returner,Animals,,,,,,,,,,
Bronx River,LaGuardia,September,MW,2MW,New,Places you can go,,,,,,,,,,
Bronx River,6 Train,September,MW,2MW,New,Transportation,,,,,,,,,,
6 Train,Pelham Bay Park,September,MW,2MW,New,Places you can go,,,,,,,,,,
6 Train,Time Square,September,MW,2MW,New,Places you can go,,,,,,,,,,
Pelham Bay Park,Mall,September,MW,2MW,New,Places you can go,,,,,,,,,,
Bronx River,RTB,September,MW,2MW,New,Places you can go,,,,,,,,,,
RTB,Adam Green,September,MW,2MW,New,People,,,,,,,,,,
RTB,Bronx River Alliance,September,MW,2MW,New,RTB,,,,,,,,,,
Bronx River,Hunts Point,September,MW,2MW,New,Places you can go,,,,,,,,,,
Hunts Point,Majora Carter,September,MW,2MW,New,People,,,,,,,,,,
Hunts Point,Hyde,September,MW,2MW,New,School,,,,,,,,,,
Hunts Point,Adam Green,September,MW,2MW,New,People,,,,,,,,,,
Bronx River,Bronx River Parkway,September,MW,2MW,New,Transportation,,,,,,,,,,
Bronx River Parkway,Jacobi Hospital,September,MW,2MW,New,Institutions,,,,,,,,,,
Bronx River ,Brother Islands,September,MW,2MW,New,Places you can go,,,,,,,,,,
Bronx River,Fishing,September,MW,3MW,Returner,Nature Activities,,,,,,,,,,
Fishing,Falling,September,MW,3MW,Returner,Nature Activities,Scary experience,Negative,,,,,,,,
Fishing,Wet,September,MW,3MW,Returner,Nature Activities,Uncomfortable experience,Negative,,,,,,,,
Fishing,Crabs,September,MW,3MW,Returner,Nature Activities,Bronx river animals,,,,,,,,,
Crabs,?,September,MW,3MW,Returner,Bronx River animals,,,,,,,,,,
Bronx River,Park,September,MW,3MW,Returner,Places you can go,,,,,,,,,,
Bronx River,Fun,September,MW,3MW,Returner,Fun,,Positive,,,,,,,,
Fun,People,September,MW,3MW,Returner,People,,Positive,,,,,,,,
Bronx River,Birding,September,MW,3MW,Returner,Nature Activities,,,,,,,,,,
Birding,Site seeing,September,MW,3MW,Returner,Nature Activities,Exploring Sites,Positive,,,,,,,,
Bronx River,Rowing,September,MW,3MW,Returner,Boats,,Positive,,,,,,,,
Rowing,Kayaking,September,MW,3MW,Returner,Boats,,,,,,,,,,
Kayaking,Scared,September,MW,3MW,Returner,Boats,Scary experience,Negative,,,,,,,,
Kayaking,Swaying,September,MW,3MW,Returner,Boats,Scary experience,,,,,,,,,
Bronx River,Creatures,September,MW,4MW,New,Bronx River animals,,,,,,,,,,
Creatures,Eels,September,MW,4MW,New,Bronx River animals,,,,,,,,,,
Creatures,Fish,September,MW,4MW,New,Bronx River animals,,,,,,,,,,
Creatures,Starfish,September,MW,4MW,New,Bronx River animals,,,,,,,,,,
Creatures,Crabs,September,MW,4MW,New,Bronx River animals,,,,,,,,,,
Bronx River,Majora Carter,September,MW,4MW,New,People,,,,,,,,,,
Majora Carter,Hyde,September,MW,4MW,New,School,,,,,,,,,,
Hyde,Pain,September,MW,4MW,New,School,Negative emotions,Negative,,,,,,,,
Majora Carter,Riverside,September,MW,4MW,New,People,Places,,,,,,,,,
Bronx River,Water,September,MW,4MW,New,Water,,,,,,,,,,
Water,Dirty,September,MW,4MW,New,Water,Dirty,Negative,,,,,,,,
